index,sentence,label
2025,오바 떨지마 이 씹새끼들아 너네 이거 방에 존나 풀고 좋아하지,1
2026,여름 때 목이 죽이려고 방에 존나 뿌리고,1
2027,사지 개새끼들아 방에 존나 뿌리고,1
2028,방문 딱 받고 자잖아,0
2029,그러면 그거 맛있는 거랑 똑같다고 힘들어 라 야,0
2030,너네는 한 가지만 물어보자 이 씨발놈들아,1
2031,물론 나도 괜찮은 생기지만 지금은 시청자가 5500,0
2032,2호 1500명은 시발,1
2033,크리스마스 때 개새끼들아 이러고 있냐 이 씨발놈들아 시발,1
2034,살갗이 없는 새끼들아 이 좆 같은 새끼,1
2035,뭐 시발 밖에 나가도 뛰어놀고,1
2036,친구들도 만나가지고 피방을 나그네 당구장을 가거라,0
2037,떡집 여자가 없다,2
2038,그러면 뭐 씨 밖에 나가면 들어가거라 컬러풀하고,0
2039,우리 방에 처박혀 가지고 씨발놈들이 크리스마스인데,1
2040,일하고 있어 정말 대단해 니들은 다 뒤져야 돼,2
2041,아니 저거 이거 야,0
2042,내가 시발 여자 존나 많아 여자 없는 소리 하는 거야,1
2043,난 방송 컨셉상 나의 실체를 몰라 아까도,0
2044,씨발놈아 내가 가지고 방송 갔다,1
2045,그랬지 사실은 이거 하고 왔어 이 씹새끼들아,1
2046,너는 뭘 알아 뭘 남구 랑 해 근데 남구는 진짜 인간 쓰레기,2
2047,이게 뭐냐면 그 새끼가 지울 보다시피 먹을 때 전화 드리고,1
2048,이제 8부 장애인이고 밖에 나가 일을 못 해 공부 못하고,0
2049,그만 와 우리 훈둥이 다 형님께서 또 뵐게요,0
2050,어허 나훈아 붉은 쳤다 확인했어요 감사합니다,0
2051,고맙습니다,0
2052,몇 개,0
2053,아니 여러분들 양구형 있죠,0
2054,인간쓰레기 게 뭐냐면 그 형은 아이가 지금 스물 여섯 살이에요,0
2055,아니 지금 먹고 오면 밖에 나가 일도 못,0
2056,알아 줘 그리고 더욱 더 중요한 거는 빨리빨리 장애인이에요,0
2057,그 새끼는 뭐 하러,1
2058,칠 때도 사는 사람들은 이렇게 친다,0
2059,그러면 이 새끼는 이렇게 팔이 안 켜져 가지고,1
2060,게다가 이 새끼가 더 중요한 건 뭐냐면,1
2061,여자를 못 만나서 매일같이 페이스북으로 왜 자꾸 웃어요,0
2062,진짜로 아니라 이거는 모기 승희도 알 거예요,0
2063,한 거 아니고,0
2064,진짜 인간 쓰레기에요 불고,2
2065,더 중요한 게 뭔지 아십니까,0
2066,남구 0 어떻게든 씨발놈 달라고 철권,1
2067,페이스북 페이지 만든 거 알죠,0
2068,그거 보고 나도 페이지 만들면 이 씨발놈 존나 많아지고,1
2069,인기스타 되겠지,0
2070,그러면 이걸로 먹고 살 수 있을 거야 봤는데,0
2071,좋아하는 500개 병신 새끼 정말 대단해요,1
2072,"씨발놈 교통 좋아요 1,000개 좋아요 1,000개 맞아",1
2073,"그 1,000개가 지금 지났는데도 천재예요 아 몰라요",0
2074,그리고 진짜로 유명한 사람들의 의견이 없어,0
2075,새끼들이 연애 병에 걸려 방송하면,1
2076,주가 위대한 것처럼 얘기를 하는 거야,0
2077,시발 야생이다 물어보지도 않았는데,1
2078,내가 옆에 있잖아요,0
2079,그러면 저 새끼 아이디가 BJ 나무 거예요,1
2080,그러면 안 오세요,0
2081,그러면 아이 시발,1
2082,또 라바 라바 라바,0
2083,라바 라바 라바 라바 물어보지도 않았는데,0
2084,씨발년이 정신병자야 뭘 그건 너야 나는 그런 적,1
2085,그런 말 한 적도 없어 이 씹새끼야,1
2086,개새끼야 네가 맨날 그러잖아 걸려가지고 씨발놈아 예를 들어가지고,1
2087,옛날에 설교 형이 여자편 있었어요,0
2088,철군악을 만나고 싶기에,0
2089,철군악은 페이스북 메시지 가 하루에도 수십 개가 와요,0
2090,그렇기 때문에 패밀리 보지 못 해요,0
2091,그러다가 이제 나 누구한테 말이에요,0
2092,설명이랑 연결해 달라고,0
2093,그러면 다음부터 세트는 야,0
2094,여자의 내 편이 연락 왔는데,0
2095,우리 같이 놀래 이러고 있어요,0
2096,병신 새끼가 완전 배관 없는 새끼 이 새끼 진짜 존나,1
2097,심해 뭐라고 아니라 김구라 같은 새끼 너 그랬잖아,1
2098,남부 씨발놈아 안 그랬어,1
2099,개새끼야 오 나이트 갈 때도 시발,1
2100,그만 국제 가면 될 거를 옛날 이제 철구형 천안고용센터,0
2101,아프리카 영정 에 갔을때,0
2102,이제 풀고양이 부산에 사라졌을 때,0
2103,이제 형이랑 저랑 영등포에서 둘이 이제 살았거든요,0
2104,우리 살았는데,0
2105,주말마다 놀러 온 거예요,0
2106,놀라 가지고 이제 나이트가 그러면은 초 새끼가 엄마,1
2107,여기도 뭐 말을 그런 적도 없는데,0
2108,제가 집으로 자발적으로 야,0
2109,네이버 미녀 내 앞가림 있냐,0
2110,아니면 너네 오늘 다 할 수 있어 어 내 앞가림 있냐,0
2111,결론은 가가지고 씨발새끼 면상 보고 다 나가요,1
2112,병신 새끼 이 새끼가 진짜 존나 빠져요,1
2113,잡아라 탄 거 존나 좀 하고 그 얘기를 하는 거예요,1
2114,씨발놈이 막말로 성훈이 여기도 유명하잖아요,1
2115,남구 보다 근데 선영이랑 이제 상용이 형 놀러 왔어요,0
2116,남구 용호로 저 보러 이제 왔는데,0
2117,난 고양이 방금 많이 힘들지 그래,0
2118,그래도 네가 열심히 하면 클 수 있을 거야,0
2119,병신 새끼가 진짜 너도 들어와 이 개새끼야 시발,1
2120,남들 야 이 개새끼야 시발 년아 이 새끼는 존나,1
2121,옛날에 이제 전화 만났을 때,0
2122,예 패션에 뭐 지가,0
2123,뭐 패셔니스타가 옷을 뭐 존나 잘 했는데,0
2124,아마 그럴 정도로 얘기했던 새끼가 이 씨발놈,1
2125,한자 뉴발 993 궁굼할때 개새끼가 뉴발 574 사업,1
2126,아니 내가 이러고 있어요,0
2127,섬을 6살이 시발 병신 새끼,1
2128,정말 쓰레기 같은 새끼,1
2129,그리고 저 새끼는 이거는 여러분들 지팡이도 알고 안녕하세요,1
2130,여러분들 다 플랫폼이 여기지 야 안 되겠다,0
2131,씨발새끼 야 나 먹방 하면서 설정가 다 너네,1
2132,태권도 같은 새끼들 야 답 없다 야,1
2133,내가 말하지 마 다 부르면 없다 알았지,0
2134,서로 번갈아 가면서 하는 거야,0
2135,한식으로 배터져 런던 식인데 세 명이서 하는 거야,0
2136,인성이 먼저 잡고,0
2137,그 다음에 이승기가 잡은 상태에서,0
2138,나라는 남구를 비즈니스를 풀고,0
2139,그리고 이제 승리가 마지막에 마이크 턴,0
2140,그러면 남구 잘해야 남구 가야 돼 오케이 그렇게 알아 야,0
2141,레고 파 약이 없다,0
2142,아파 야 장애인 새끼 야 정해인 초등 줘 보라고 야,1
2143,마빈박사 야 오이대가리,1
2144,애호박 대가리 채팅 쳐 보라고 이 개씨발년아 나갔어,1
2145,자기야 그 남구 전화해 봐 번호 알지 삭제했다,0
2146,전화번호 있는 거 같아 5분만 기다려 나 씻고 있음,0
2147,우리 밖에 감사해요 고맙습니다 감사드립니다,0
2148,그러면 여러분들 인생이란 갑시다,0
2149,작성해 씨 새끼 병신 찐따 새끼 승희 씨,1
2150,스위치 대하는 게 있잖아요,0
2151,그런 게 아니죠 하고,0
2152,그 다음에 하면 안 됩니까 형님,0
2153,정말 감사드립니다 고맙습니다 드립니다 형님,0
2154,아니 승희 씨 장보고에 대한 게 많잖아요,0
2155,보면은 사실이고 말하기가 좀 애매한데 착한 척 하는데,0
2156,속은 쓰레기 이렇게 돼 있어요,0
2157,오늘은 한쪽을 맞아 시발,1
2158,새끼 존나 좆 빠지게 쓰려니까 졸려 가지고 이거 뭐,1
2159,어떻게 생각을 해야 되지,0
2160,아 그래서 야 너 말투,0
2161,좀 음질이 너무 쓰레기야 영상처럼 좀 말고,0
2162,소리 좀 줄여 지금 어 됐다,0
2163,야 얘 왜 그러지 갑자기 어 그랬어,0
2164,너 예썰이 뭐야 뭔,0
2165,썰 당고개 안 거 없어,0
2166,너 아는 게 뭐가 있어 야,0
2167,그거 있잖아 이 새끼야 네가 남구 형한테 생겼는데,1
2168,난 고양이 한마디도 못하고 쓴 거,0
2169,진짜로 접기가 옛날 아까 말했다시피 확실히 하는 거 있잖아,0
2170,동생이 뭐 자기한테 짜증 난다,0
2171,그러면 뭐 해야 되는데 못 갚아서 보지를 모르겠지만,0
2172,그냥 집에서 그냥 심심해서 넘길 수도 있잖아요,0
2173,그거 틀어 놓고 자기가 알고 있어 이 병신,1
2174,새끼 새끼 한 번씩 있잖아요 뭐라고 0 1,1
2175,0 야 이 새끼야 아니 안 돼,1
2176,내가 먹어 자기 얘기 하지 말라고,0
2177,방송에서 들어와 그래,0
2178,그 분을 그 중에서도 풀면 안 돼,0
2179,잘생긴 좀 나지 않냐,0
2180,저 새끼 시발 새끼 시발 새끼 시발,1
2181,그거를 자꾸 눌러 주니까,0
2182,기분 좋아 가지고 씨발새끼,1
2183,씨발새끼 여러분들 구라가 아니라 남구가 여자팬이 딱 한 명,1
2184,남구 남자친구 생겨 가지고 아마 관심도 없을 거예요,0
2185,안 오는 거 같은데,0
2186,그리고 저 새끼가 얼마 전에 여러분들 노래방에서 다들 아세요,1
2187,그때 제가 번호를 수준으로 따로 자기가 딱 어때요,0
2188,잘 모르겠어요,0
2189,애새끼가 돌아가니라 진짜 이 새끼가 자화자찬에 존나 하시네요,1
2190,그리고 지가 진짜 잘생긴 줄 알아요,0
2191,사진 보여 드릴까요,0
2192,아니 내가 뭐 어느 정도 말을 안 하는데 이 새끼들은 추가,1
2193,진짜 잘생긴 거 사진을 찍어 갖고 이 봐,0
2194,이렇게 사진을 찍어,0
2195,이것도 뭐 잘생긴 애들이 너무 귀여운 애,0
2196,아니 이 새끼는 찍어 진짜 잘생긴 줄 알아 아니라,1
2197,게다가 이 새끼 지금 손가락도 장애인이에요 시발 싫다,1
2198,또 살짝 지웠잖아,0
2199,좆 같은 새끼 들어갔고 이 씨발새끼 2반 지도,1
2200,옛날에 그 500원짜리 뽑기에서 뽑은 반지 반지 그거예요,0
2201,병신 같은 새끼 그리고 이 새끼 씨발놈,1
2202,자기가 뭐 선글라스를 쓰면 자이언트를 닮았대요,0
2203,그냥 자이언티가 아니라 그냥 장애인이야 이 개새끼야,1
2204,자이언트 자이언트 는 씨발놈 수업하고 있어,1
2205,병신 새끼가 사진 찍을 때 사진 찍을 때마다 자꾸 보여요,1
2206,어떻게든,0
2207,씨발놈 다 안 지워 버려 버려 가지고,1
2208,저 새끼 어떻게 아니라 아,1
2209,그래도 진짜 똥 냄새나 그 새끼 여러분들,1
2210,사진 제가 잠깐 보여드리자면 여기에 이파리 없어요,0
2211,제가 아이콘으로 잠깐 보여 드릴게요 이 새끼가 손잡이 없어요,1
2212,여기,0
2213,아니 진짜 이 새끼가 여기 이빨이 한 적이 없어요,1
2214,이게 싸가지 없는 거예요,0
2215,썩었어 시발 고치거나 해야 되는데,1
2216,원래 여러분들이 이빨 썩은 이빨,0
2217,썩은 똥 냄새나는 거 알지,0
2218,진짜 돌아다니면 이 새끼들이 바로 딱 하고,1
2219,똥 냄새가 나요 이 씨발놈 개새끼 정말 대단하다 이 개새끼,1
2220,이불 갖고 있어도 없는 부분에서,0
2221,문제가 3월 온다니까 가만있어도 봐 봐요,0
2222,또 철구형 따라했어 설교 형 요새 케이스 담배 사진이랑 술먹방,0
2223,그거 사진 좀 올렸잖아 컨셉잡고 인생은 고달프다,0
2224,뭐 이런 식으로 해서 이 개새끼야 씨발놈,1
2225,매일 같이 따라 해 병신 같은 새끼야,1
2226,더러운 새끼 진짜 냄새가 우와 우와 진짜 이게 사람,1
2227,사람 얼굴이야 느금마 얼굴이야,1
2228,시발 너 진짜 좆같이 생겼네 말을 하는데,1
2229,약간 넣고 들어가 난 공부 안 하는 거 아니야,0
2230,빨리 들어와 병신,1
2231,새끼야 소리 뭐야 자동으로 꺼지니까 야 보시라고요,1
2232,아 우리 순둥이가 형님께서 똥개 정말 감사드려요,0
2233,형님 고맙습니다 있어 봐 머리 말리고,0
2234,어차피 너는 머리 말려 도안 말려도 그게 그 거야,0
2235,새끼야 시발 새끼야,1
2236,호박에 줄 긋는다고 수박 되냐 이 개새끼야,1
2237,씨발년아 자꾸 보여 달라고 안 보여 줘,1
2238,새끼야 그냥 들어와,1
2239,아가리만 말고 이 씨발놈아,1
2240,확인하러 이 개새끼가 약속 있대 이 새끼 약속 있다,1
2241,그랬어 어디 나 약속 있어서 지랄도 병이다 이 씹 새끼야,1
2242,진짜 이 좆 같은 새끼야 아,1
2243,더러운 새끼 씨발년아 빨리 들어와 이 개새끼야,1
2244,그리고 저 새끼는 한 가지 말씀드릴게 여러분들,1
2245,마이크 소리 잠깐 피우고,0
2246,한 가지 말씀드리자면 양승희 이상해 야,0
2247,야 복덩이 집에 엄마 아빠 있어 음식 들어와요,0
2248,컴퓨터 좀 하나 씨발년아 아,1
2249,내가 너 먹었다고 야 어 알았다,2
2250,들어오라고 이 병신 새끼야 그래 걸렸다고 여러분들,1
2251,제가 말씀 드릴게요 구라가 아니라,0
2252,남구 저새끼 있잖아요,1
2253,여자를 만날 때 철구 형이랑 나를 팔아요,0
2254,씨발놈이 예를 들어가지고 여자구나 야,1
2255,너 내 편이야 아,0
2256,그래 오늘 나랑 같이 놀래 라고 부르면 되는데,0
2257,꼭 시발 야 내 옆에 있다 야 내 옆에 철구 있다,1
2258,꼭 개새끼가 씨발놈이 여자로 좆같은 새끼가,1
2259,그러고 뭐 뒤에서는 막 자기가 모른척을 해요,0
2260,오겠다는 거야 진짜로 뭐라고 돌아가신 아버님 걸고,0
2261,반 적 없음 진짜 없냐,0
2262,와 줘 페로나 새끼야 구라 좀 아닌 척 좀 하지 마,1
2263,씹새야 나는 사실만을 말이 개새끼야,1
2264,내가 좀 이렇게 진지하게 말해 본 적 있어,0
2265,내가 뭐 지금 우성택시 말해 줘 나 진지해 할 거야,0
2266,말 거야,0
2267,개새끼야 배고파 씨발년아 꺼져 이 개새끼야,1
2268,머리 말리는데,0
2269,하루 웬종일 걸려 60개 감사합니다 먹을게요,0
2270,이거 뭐 근데 아까 전에 씨 크리스마스 뭐 한다 그랬잖아요,0
2271,느금마 여자 친구 합시다,1
2272,이제 놀래 천정아 기도 와우 야 거기는 애들이 씨발놈,1
2273,인천 의료원 가는 게 아니고요,0
2274,어떻게 보면은 좋다는 얘기를 칭찬하는 거야,0
2275,좀 개방적이고 서구적인 선영이 강한 여자 분들이 많다,0
2276,근데 이 새끼 말,1
2277,한마디에 어느 정도 일리가 있는 게 인천에 좀 약간 걸리는데,0
2278,진짜 많아요 저도 수 백양사와 사교,0
2279,갖지 마 아무 10가지 얘기할게요 알아서들 하세요 야,0
2280,아무튼 뭐 너도 여자,0
2281,우리 이대로 놀래 크리스마스에는 어떻게 보내냐,0
2282,작년 크리스마스 알려 달라고 기다려 봐 감사하고요,0
2283,작년에 뭐 했어,0
2284,그래서 왔어요,0
2285,카페 최소로 방법 알려 줄게 들어와 반대,0
2286,신태일 빨리빨리 6969 야,0
2287,빨리 들어와 이 병신 새끼야 작년에 뭐냐고,1
2288,씨발년아 말귀를 못 알아들어 비밀이야,1
2289,그냥 딸딸이 좋다,2
2290,그래 이 씹새끼야 TV 보면서 기적 같은 새끼야 비밀이야,1
2291,나는 작년에도 나도 이따 미쳤어,0
2292,그렇기 때문에 이번에도 남자,0
2293,새끼가 보내기로 싫어 OK,1
2294,그러면 이렇게 하자 면상,0
2295,그리고 너희 아가려면 웃는 여자 거 배울 수가 있어,0
2296,그럼 너도 얼굴이 모네가족 생겼다는 걸 아는 거네,0
2297,어디 가서 꿀리진 않아 근데 있잖아,0
2298,너 내일도 만약에 뭐 먹었어,0
2299,거기서 음식이냐 이 개새끼야 뭐 먹기로 술을 먹었어,1
2300,근데 너는 또 어디서 한잔 먹고,0
2301,와 가지고 둘이 재밌게 가만히 안 있을 거야,0
2302,뭐 시작하려고 야,0
2303,어 술 많이 들었다 이 새끼야 나 진짜 그래,1
2304,야 장애인 아 소리 안 들리지,2
2305,새끼야 어느정도 얼굴이 못생김,1
2306,여는 이제 승리처럼 목소리라고 좋아하지,0
2307,목소리도 좆 같고,1
2308,얼굴도 야 씨발놈아 나 말고 이제 굉장히 잘생겼습니다,1
2309,씨발놈아 씨발놈아 씨발놈아 중요한 건 저기요 공도 장애인이다,1
2310,막말로 저 씹새끼 시간 있나요,1
2311,씨발놈들아 가지고 나왔어,1
2312,시발 어디 여기 다섯 개 받았어 이 씹새끼들,1
2313,미친놈들이 근데 내가 볼 때,0
2314,너는 솔직히 그건 인정,0
2315,그만해 이 새끼야 이 새끼들 가면은 못 받았어요,1
2316,그냥 재미 더럽게 없는 이유가 있어 이 씨발놈,1
2317,다시는 안 하는 거잖아 잘랐어 야,0
2318,근데 아니 남고요,0
2319,물어볼게 너 진짜 잘생겼다 생각해 그냥 씨발놈아,1
2320,그러면 그렇게 나오네 다섯 개와 들어오는 순간부터,0
2321,지금 노잼 됐어 모든 그래서 인정을 하고 있어,0
2322,지금 못생긴 거 아닌 거 야 난 고고,0
2323,너 아니면 이승우에 대해서 한번 물어봐 아빠,0
2324,우리도 너에 대한 서울 들었으니까 던지면 맨날 눌러져 알아요,0
2325,그걸 얘기를 하게 되면,0
2326,저렇게 자살가게 요가로 하면은 이 새끼 엄청 먹어요,1
2327,얘기 하지 말래 그거는 문제가 문제가 네 잘못이 상당히 뭐,0
2328,씨발년아 미안해 누가,1
2329,그리고 문자를 못 쓰니까 아니면 또 아니잖아 말도 아니야,0
2330,이거 하지 마라 이 새끼야 이 개새끼야,1
2331,김지은 아 그래,0
2332,근데 진짜 이 새끼가 내가 미안해,1
2333,진짜 진짜 진짜 정말 좋대 아니다,0
2334,진짜 실제로 있는 사람이기 때문에,0
2335,그 근처에 마지막 변명의 진작,0
2336,돌아가 이거 정말 내가 미안해 헛소리 좀 하지 마 제발,0
2337,약속해 이건 뭔 소리야 시발,0
2338,새끼야 씨발놈아 걔한테 일한다,1
2339,병신 새끼야 아,1
2340,이승희 너한테 난 그런 새끼 언니야 아끼지만 해야지 시발,1
2341,이승희 형이 먼저 여자 친구를 사귀는 게 맞는 거지,0
2342,어떻게 보면은 그 플라워,0
2343,누나랑 사귄 것도 나 때문에 지 누구 플라워,0
2344,누나 어 나한테도 여자를 좀 해 줘 이 새끼야,1
2345,그걸 네가 나 여기서 하려고 그런 게 아니고,0
2346,너 여기서 받으려고 갔다가 따라갔다가 씨발놈,1
2347,내가 뺏어 이 새끼야 그게 아니잖아,1
2348,직접적으로 말하지 말라고 이 개새끼야,1
2349,어떻게 됐어 이 새끼야 이 장애인 새끼야 이 개새끼야,1
2350,느금마 느금마 씨발년아 개새끼가 대가리가 없어 있으니까,1
2351,이러고 있지 개새끼야 개새끼야 하라고,1
2352,씨발놈아 맨날 더 개새끼야 너 바보 지금은 뭐야,1
2353,지금 아침 아니야 들어가 가지고,0
2354,밥 먹고 가라고 이 개새끼야 겁나 씨발놈 아,1
2355,우는 척하는 것도 씨발새끼 진짜 인간적으로,1
2356,상관 아니야 지랄하지 마 내가 엄마가 안 했어요,1
2357,너 장례식장 안 가려다가 보험 검색,0
2358,아니 아니 아니 보험금 드립이 아니라 저 새끼가 그래서 있잖아,1
2359,내가 말해 드릴게요 뭐라 그런 줄 아세요,0
2360,제가 아 나 이거 원래 이거 보증금이란 거 낸 것도 좀 아버지,0
2361,이거 보험금에서 못한 것도 있다고,0
2362,그리고 아버지도 원근 어머님이 다 가져간 게 아니라,0
2363,어머님 나한테 돈 줬다고,0
2364,그 보험금으로 뒤 멀쩡한 거라고 했잖아 이 개새끼야 야,1
2365,내가 이게 맞는 말이잖아,0
2366,아프리카 영정 먹을 게 없는 말을 하게 되는데,0
2367,와 이 새끼 했었어,1
2368,엄마가 아버지 없어,0
2369,엄마가 해 준 적이 씹새끼 죄송합니다,1
2370,5킬로 개드립 쳐 구라야 내가 이거 웃기려고 말할게 있냐,0
2371,설정 안 했는데 패드립이 아니라 저 새끼가 그랬다니까,1
2372,근데 말이지 그냥,0
2373,갑자기 이렇게 머리에서 나올 리가 없잖아,0
2374,이게 아닌데,0
2375,아버지 보험금이 드림으로써 먹는 거지,0
2376,보험을 들었는지 안 되는지도,0
2377,후성 주가 맘마를 기억을 못 하는 거예요,0
2378,내가 대가리가 중독인데,1
2379,갑자기 그런 말이 어디 전화가 아니고,0
2380,말로 하면 다 아는 척,0
2381,에 설명해 줄게 잘 봐 잘 들어 봐 아니잖아요,0
2382,한 적이 없어요 어떻게 된다면,0
2383,제가 저 새끼들 제가 데리러 갔다 올래요 야,1
2384,너 언제 오냐 언제 오냐 언제 오냐 그래서 내가 그랬어 아,0
2385,돈 문제 때문에 좀 오래 있어야 될 것 같다,0
2386,바뀌었으니까 이 새끼는 그냥 두 손으로 치는 거지,0
2387,안 그러면 너 어머님이 돈 금 다 가져갔어,0
2388,야 너 진짜 나랑 쌩까자 시발,1
2389,좆같은 년아 너 나가 개새끼야 쓰레기로 만들라,1
2390,그래 꺼져 진짜로 내가 보기엔 이,1
2391,개새끼가 이 새끼가 분명히 저한테 아버지가 아버지,1
2392,본 거 어머님이 다 가져가지도 않았고,0
2393,어머님 어머님이 나한테 좀 줬다,0
2394,나 생활비 하라고 그러면서 네가,0
2395,그러니까 이 개새끼야 와 이 새끼 안 줬대,1
2396,지가 얘기해 놓고 와 어이가 없다,0
2397,형님 감사합니다 미안한데,0
2398,내가 생생이 기억의 씹새야 아니야 근데 난 거고 얘기를 했으니까,1
2399,이제 걔도 이제 요정도 까지 확실히 해 갖고 이렇게 하지,0
2400,시발 누가 말이 맞는지 모르겠네 아 저기가 주라고요 감사합니다,1
2401,고맙습니다,0
2402,감사드려요 형님 어머니랑 통화 가능하대 야 막말로 시발,1
2403,지금 엄마랑 미리 전화해 놓은 다음에 엄마,0
2404,나 그거 아니라고 해도 절대 말한 거 아니라고,0
2405,이거 어떻게 알아 그거 뭐야,0
2406,아니 여러분도 구라가 아니라 내가 이거 구라 사나요,0
2407,아프리카영정 먹고 바로 다시 할게 진짜로,0
2408,아니 내가 지금 진지하게 이렇게 했을까 라고 말하면서,0
2409,진지하게 말한 적이 있어요,0
2410,근데 그 이렇게 될 수 있어,0
2411,난 이제 웃기려고 이 새끼한테 얘기해도,1
2412,기억을 못 할 수가 있고,0
2413,실제로 진짜 안 받았을 수도 있고,0
2414,뭐 그냥 능력이라 할 수가 없다 이 개새끼,0
2415,아니 여러분들 갑자기 지금 영종 각이다,0
2416,인성 쓰레기다 얘기하시는데,0
2417,이거 솔저 아니에요 이더넷설정 얘기하자고,0
2418,지금 여기 들어온 거 있는데,0
2419,뭔 갑자기 뭐 해,0
2420,드릴 아니면 말도 안 되는 소리를 하고 있어요,0
2421,패드립은 남구 형님,0
2422,아버님한테 직접적으로 욕을 하거나,0
2423,비방 비하를 한 개 패드립 이에요,0
2424,저는 아버님에 사망보험금을 받고,0
2425,그걸로 집을 구했다고 하는데,0
2426,이게 어떻게 패드립 패드립 너랑 뜻을 몰라요,0
2427,병신 새끼들아 와 진짜 대단하다 이 씨발놈들,1
2428,새끼들 후배들이 또 모르네 그리고 군대 가지고 생활하는지,1
2429,근데 왜 그거를 전에는 뭐 자존심 까떼나 봐,0
2430,그게 이런 경우 여기 없어,0
2431,사실 이 씹새끼야 막말로,1
2432,내가 난 거는 아버님 싫어했으면 남경이 아버님,0
2433,장례식장 가지도 않았어요,0
2434,저랑 서울에서 마산 부산보다 더 먼 곳까지 차 타고 가 가지고,0
2435,어 당구장 아버님 돌아가셔서 갖고 보험금 보험금 이거 뭐지,0
2436,그거 봉투에 돈 넣는 거 뭐라,0
2437,그러냐 이선희 보조금 아닌가요,0
2438,조금 넣어 드리고 왔어요,0
2439,근데 그거 최고 가니까 따라 간 거잖아요,0
2440,최고가 가자 그러는데,0
2441,아 귀찮아 안 가려고 이런 시발 사람 쓰레기 갖다 버리고,1
2442,그래 그거 인제 어 그래,0
2443,그런데 아니야 내가 안 해 씨발놈아,1
2444,그래 가지고 뭐,0
2445,뭐 명복을 보여 5일까지 구라가 아니라 웃기자고 하는 소리고,0
2446,그냥 갔어요 남고 형이 이제 아프지 않냐,0
2447,이런 말을 하고 놀아야 돼,0
2448,아니 그거 말고 가르쳐 주라고,0
2449,나무야 여러분들 이거는 지금,0
2450,일만 있을 때는 말할 수가 없어,0
2451,다음과 같이 있어야 돼요,0
2452,저도 좀 듣고 싶지 때문에 아버지,0
2453,이제 그만하고 줘 봐,0
2454,이따가 시발 새끼야 파이 업이라고 미안한데,1
2455,파이 버렸어 버렸어요 거야,0
2456,무좀 시간 노래 안 들어와 병신 새끼 알았나,1
2457,안 들어 가신다는데,0
2458,뭐 안 들어가죠,0
2459,프로 따니까 확인해 봐 남구,0
2460,님이 대화창을 개새끼 들어왔다,1
2461,옷을 이렇게 입고 왔어,0
2462,장례식도 손님들 잠깐 좀 아니야 잘못 가르쳐 드릴까요,0
2463,맞아요 있었거든 아니야,0
2464,이거 이거 이거 하는 게 아니지만,0
2465,내가 너무 멀어서 갑자기 이렇게 오는 거야,0
2466,우리가 간다,0
2467,기다려 봐 이렇게 하면 얼마 썼어 친구가 그런 거야,0
2468,우리가 간다,0
2469,출근 안 하겠지만 좀 있을 때 소금을 안 버렸어,0
2470,거리가 멀고 지금까지 너무 많이 준다고 그래 가지고 아니까,0
2471,내가 먹고 싶은 거는요,0
2472,최근에 저도 이제 듣기 만들었는데 맞장을 갔다,0
2473,아니 그거 듣고 싶은 얘기가 있어요,0
2474,여자친구가 있었으면 내가 천천히 더워서 안 좋아요,0
2475,왜냐면 다친 것도 입원해 가지고,0
2476,잘 보이기 때문에 원래 잘 안 갔어,0
2477,내가 안 가는 거지,0
2478,뭐 병신 새끼 병신 새끼 나는 잘 모르는데,1
2479,아파트에서 뭐지 혼자 있으니까 지는 거야,0
2480,그러면 차광도 뭐 팔 고양이랑 전화,0
2481,이제 평상시에도 그랬어요,0
2482,남고 이제 장애인 갔다 생기는데,0
2483,진짜 장애인 갈까,0
2484,현도면 갑자기 지금 뭐 안,0
2485,그러면 내가 마음만 죽으면 자기를 놀렸다고 불알 개불 할까,0
2486,하는데 철구 형이랑 저랑 둘이서 술 게임 할 때,0
2487,나 뭐 할 때나 장애인이라고 매일같이 놀렸어요,2
2488,근데 그날 제 여자친구,0
2489,우리나라 철구 형이랑 철구여자친구,0
2490,지혜랑 안 거라니까 다섯 명이서 있었어요,0
2491,별로 다친 하지 않았을 때 한 달도 안 되었을 때,0
2492,그때 이제 제가 눌렀어요,0
2493,남고형 모형 로보캅이 야,0
2494,왜 자꾸 팔 안 피고 다녀 오 이랬어,0
2495,근데 이제 조용히 장난으로 나는 이제 한 건데,0
2496,그때 웃으면서 너 뭐 하는데,0
2497,조용히 갑자기 빨리 치는 거야,0
2498,그래서 내 목을 이렇게 돌려 줬어요,0
2499,손톱을 그래가지고 저기 기상청 않았었거든요,0
2500,그때 그래가지고 아이 시발,1
2501,제가 근데 얘가 이제 장난치고,0
2502,넘기려고 제발을 막 이렇게 자꾸 야 할 거야,0
2503,안 할 거야,0
2504,할 거야,0
2505,안 할 거야,0
2506,제목 졸릴 때는 존나,1
2507,진지하게 목졸린 새끼가 갑자기 내가 박스 물어보고,1
2508,집어쳐 맞을 거 들어온 거 아닐까 야,0
2509,너 갑자기 뜬금없이 내 바로 잡더니 야,0
2510,너 할 거야 말 거야 나 할 거야 말 거야,0
2511,이러는 거예요,0
2512,그래 가지고 내가 놔봐 놔봐 이랬어요,0
2513,나 여기 목소리가 보여 성체조배 좋을 때,0
2514,잘해라 뭐 이런 식으로 얘기를 했어요,0
2515,그래 갖고 제가 말을 좆같이 하는 거예요,1
